transaction_date,amount
2025-01-01,5397.37
2025-01-02,4889.39
2025-01-03,5518.15
2025-01-04,6218.42
2025-01-05,4812.68
2025-01-06,4812.69
2025-01-07,6263.37
2025-01-08,5613.95
2025-01-09,4624.42
2025-01-10,5434.05
2025-01-11,4629.27
2025-01-12,4627.42
2025-01-13,5193.57
2025-01-14,3469.38
2025-01-15,3620.07
2025-01-16,4550.17
2025-01-17,4189.74
2025-01-18,5251.4
2025-01-19,4273.58
2025-01-20,3870.16
2025-01-21,6172.52
2025-01-22,4819.38
2025-01-23,5054.02
2025-01-24,3860.2
2025-01-25,4564.49
2025-01-26,5088.74
2025-01-27,4079.21
2025-01-28,5300.56
2025-01-29,4519.49
2025-01-30,4766.65
2025-01-31,4518.63
2025-02-01,6481.82
2025-02-02,4989.2
2025-02-03,4153.83
2025-02-04,5658.04
2025-02-05,4023.33
2025-02-06,5167.09
2025-02-07,3432.26
2025-02-08,3937.45
2025-02-09,5157.49
2025-02-10,5590.77
2025-02-11,5137.09
2025-02-12,4907.48
2025-02-13,4759.12
2025-02-14,3817.18
2025-02-15,1200.0
2025-02-16,4631.49
2025-02-17,5845.7
2025-02-18,5274.89
2025-02-19,3589.57
2025-02-20,5259.27
2025-02-21,4691.93
2025-02-22,4458.46
2025-02-23,5489.34
2025-02-24,5824.8
2025-02-25,5745.02
2025-02-26,4328.63
2025-02-27,4752.63
2025-02-28,5265.01
2025-03-01,5780.44
2025-03-02,4616.66
2025-03-03,4851.47
2025-03-04,4114.93
2025-03-05,4043.03
2025-03-06,5650.02
2025-03-07,6084.99
2025-03-08,4942.39
2025-03-09,5802.83
2025-03-10,5289.31
2025-03-11,4483.9
2025-03-12,5289.12
2025-03-13,6230.43
2025-03-14,4971.34
2025-03-15,6251.71
2025-03-16,2904.2
2025-03-17,5657.52
2025-03-18,5069.64
2025-03-19,4760.79
2025-03-20,5073.41
2025-03-21,3409.94
2025-03-22,4824.26
2025-03-23,5285.69
2025-03-24,6182.32
2025-03-25,4585.38
2025-03-26,4353.21
2025-03-27,4598.59
2025-03-28,5732.32
2025-03-29,5263.0
2025-03-30,4576.19
2025-03-31,5410.61
2025-04-01,12000.0
2025-04-02,5774.92
2025-04-03,4438.36
2025-04-04,4737.87
2025-04-05,4686.31
2025-04-06,3829.19
2025-04-07,5236.9
2025-04-08,5208.84
2025-04-09,5004.09
2025-04-10,4812.33
2025-04-11,3867.7
2025-04-12,4663.48
2025-04-13,4725.83
2025-04-14,4358.18
2025-04-15,4870.97
2025-04-16,5323.24
2025-04-17,6508.95
2025-04-18,5139.66
2025-04-19,5206.04
2025-04-20,4940.44
2025-04-21,3464.98
2025-04-22,4978.79
2025-04-23,5048.18
2025-04-24,6970.59
2025-04-25,4846.11
2025-04-26,5241.24
2025-04-27,4972.23
2025-04-28,4065.06
2025-04-29,5914.26
2025-04-30,5601.55
2025-05-01,5632.83
2025-05-02,4272.49
2025-05-03,6122.24
2025-05-04,3878.52
2025-05-05,5469.49
2025-05-06,6752.36
2025-05-07,4207.57
2025-05-08,4546.96
2025-05-09,5079.72
2025-05-10,4597.22
2025-05-11,900.0
2025-05-12,5054.85
2025-05-13,4150.16
2025-05-14,5378.87
2025-05-15,4264.46
2025-05-16,6239.95
2025-05-17,4373.4
2025-05-18,4742.35
2025-05-19,5650.81
2025-05-20,4015.31
2025-05-21,5181.97
2025-05-22,6045.71
2025-05-23,3714.01
2025-05-24,5147.71
2025-05-25,5207.91
2025-05-26,5625.46
2025-05-27,4010.44
2025-05-28,3943.63
2025-05-29,5417.55
2025-05-30,5237.59
2025-05-31,5200.39
2025-06-01,5277.16
2025-06-02,4455.98
2025-06-03,5185.8
2025-06-04,5234.46
2025-06-05,4428.52
2025-06-06,6492.62
2025-06-07,5379.07
2025-06-08,4046.96
2025-06-09,5525.24
2025-06-10,4220.25
2025-06-11,5629.67
2025-06-12,5926.88
2025-06-13,4343.45
2025-06-14,5770.7
2025-06-15,5330.22
2025-06-16,5657.65
2025-06-17,6517.43
2025-06-18,4803.69
2025-06-19,4397.01
2025-06-20,4288.39
2025-06-21,4347.35
2025-06-22,4938.32
2025-06-23,5272.92
2025-06-24,5221.35
2025-06-25,5661.75
2025-06-26,5010.4
2025-06-27,6162.83
2025-06-28,4788.27
2025-06-29,7176.14
